Level,Semester,Course Code,Course Title,Course Area,Department,Faculty
100 Level,First Semester,EDU111,History of Education,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,ECO111,Principles of Economics,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,ECO112,Introduction to Quantitative Method I,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,ECO113,Introduction to Statistics I,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,BUS111,Introduction to Business,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST111,Use of English,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST112,Philosophy and Logic,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,CSC110,Introduction to Computing,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDU121,General Teaching Method,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,ECO121,Principles of Economics II,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,ECO122,Introduction to Economic History,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,ACC121,Introduction to Accounting II,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST121,Peace Studies and Conflict Resolution,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST122,Nigerian People and Culture,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST123,History and Philosophy of Science,Economics Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,BUS121,Introduction to Business II,Economics Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU211,Developmental Psychology,Economics Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU212,Philosophy of Education,Economics Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,ECO211,Micro-Economics Theory I,Economics Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,ECO212,Economics Statistics I,Economics Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,ECO213,Mathematics for Economics I,Economics Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,BUS211,Principles of Business Management I,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU221,Method of Teaching,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU222,Sociology of Education,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU223,Instructional Technology,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,ECO221,Micro-Economics Theory II,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,ECO222,Economics Statistics II,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,ECO223,Mathematics for Economics II,Economics Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,BUS221,Principles of Business Management I,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU300,Supervised Teaching Practice,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU311,Curriculum Studies,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU312,Educational Psychology,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU313,Integrated Social Studies,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,ECO311,Developmental Economics I,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,ECO313,Econometric I,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,ECO315,Economic Project Analysis,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,ECO316,Petroleum Economics,Economics Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,ECO317,Macro Economics Theory I,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU321,Introduction to Educational Research & Statistics,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU322,Comparative Education,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,ECO321,Macro-Economics Theory II,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,ECO323,Developmental Economics II,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,ECO324,Introduction to Public Finance,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,ECO325,Econometrics II,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,ECO326,Applied Statistics,Economics Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,CED300,Entrepreneurship,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU400,Supervised Teaching Practice,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU411,Measurement and Evaluation,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU412,Introduction to Education Management,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,ECO412,History of Economic Thought,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,ECO413,Structure of the Nigerian Economy,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,ECO414,Advanced Macro-Economics Theory,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,ECO416,International Trade,Economics Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,ECO417,Development Planning,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU421,Guidance and Counseling,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU499,Project,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,ECO421,Advanced Micro-Economics Theory II,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,ECO422,Applied Econometrics,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,ECO423,International Finance,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,ECO424,Public Sector Economic,Economics Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,ECO426,Nigeria's Public Finance,Economics Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDU111,History of Education,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GEO111,"Introduction to Geography, Man and his Physical Environment I",Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GEO112,Practical Physical Geography,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GEO113,Elementary Land Survey,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST111,Use of English,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST112,Philosophy and Logic,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,CSC110,Introduction to Computing,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,POL111,Introduction to Political Science,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,SAA112,Ethnography of Nigerian,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,EDU121,General Teaching Method,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GEO121,"Introduction to Geography, Man and his Physical Environment II",Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GEO122,Practical Human Geography,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GEO123,Local Field Studies,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST121,Peace Studies and Conflict Resolution,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST122,Nigerian People and Culture,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST123,History and Philosophy of Science,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,POL121,Basic forms and Organization of Government,Geography Education,Department of Educational Management,Faculty of Education
100 Level,Second Semester,SAA122,Introduction to psychology,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU211,Developmental Psychology,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU212,Philosophy of Education,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,GEO211,Introduction to Geomorphology,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,GEO212,Introduction to Spatial Organization of Human,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,GEO213,Introduction to Topographical Map Analysis,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,GEO214,Introduction to mathematics for geographers,Geography Education,Department of Educational Management,Faculty of Education
200 Level,First Semester,GEO215,Introduction to History of Geographic Thoughts,Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU221,Method of Teaching,Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU222,Sociology of Education,Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,EDU223,Instructional Technology,Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,GEO224,"Introduction to Climatology and Biogeography",Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,GEO225,Introduction to Population Studies,Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,GEO226,Introduction to Cartography,Geography Education,Department of Educational Management,Faculty of Education
200 Level,Second Semester,GEO228,Introduction to Geographic Thought Theory,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU300,Supervised Teaching Practice I,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU311,Curriculum Studies,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,EDU312,Educational Psychology,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO311,Field Studies in Geography,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO312,Research Method in Geography,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO313,Advanced statistical methods in geography,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO314,Population Analysis,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO315,Soil Geography,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO316,Settlement systems,Geography Education,Department of Educational Management,Faculty of Education
300 Level,First Semester,GEO319,Rural geography and settlement,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU321,Introduction to Educational Research & Statistics,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,EDU322,Comparative Education,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,GEO322,Industrial Geography,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,GEO323,Geography Field Work Techniques (Practical),Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,GEO324,Regional Geography of Africa,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,GEO325,Aerialphoto-interpretation,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,GEO326,Advanced quantitative techniques,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,GEO327,Biogeography,Geography Education,Department of Educational Management,Faculty of Education
300 Level,Second Semester,CED300,Entrepreneurship,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU400,Supervised Teaching Practice,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU411,Measurement and Evaluation,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,EDU412,Introduction to Education Management,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,GEO411,History of Geography Thought,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,GEO412,"Geography of the 3rd world (Latin America)",Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,GEO413,Introduction to Remote Sensing,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,GEO414,Regional Geography of Nigeria,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,GEO415,Regional Planning and Development,Geography Education,Department of Educational Management,Faculty of Education
400 Level,First Semester,GEO416,Rural Land Resource Evaluation,Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU421,Guidance and Counseling,Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU499,Project,Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,GEO421,"Geography of the Developed world Europe/North",Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,GEO422,"Contemporary Philosophy & Methodology in Geography",Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,GEO427,Geomorphology in Environmental Management,Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,GEO428,Urban Geography,Geography Education,Department of Educational Management,Faculty of Education
400 Level,Second Semester,GEO433,Approaches to Regional Growth Analysis,Geography Education,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDU111,History of Education,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,POL111,Introduction to Political Science,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,ECO111,Principles of Economics,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,SAA111,Introduction to Sociology,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,SAA112,Introduction to Ethnography of Nigeria,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,BUS111,Introduction to Business,Education and Political Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,GST111,Use of English,Education and Political Science,Department of Educational Management,Faculty of Education
