Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"The largest group of gymnosperms which includes pines and cedars is:","Coniferophyta","Welwitschia","Ginkgophyta","Cycadophyta","Lignophytic fungi",0
2,"Cycads are plants that belong to the phylum","Coniferophyta","Welwitschia","Ginkgophyta","Cycadophyta","None of the above",3
3,"A plant that will grow from the embryo and last for the entire life of the plant are","Conifers","Gnetum","Maidenhair","Welwitschia","Ephedra",0
4,"Seeds of Gnetum planted in the dark will grow and become yellow and soon die because","they lack proper aeration","they cannot photosynthesize","no sunlight to manufacture food","there is excess water in the soil","",2
5,"Bacteria have additional DNA fragments called","ribosomes","Plasmids","Plasmids","knobs","manufactotes",2
6,"A student resolved the cell wall with the aid of a microscope as 0.5 mm, convert the cell measurement into micrometers (μm)","0.005 μm","500 μm","0.05 μm","50 μm","",1
7,"Which of the following is true in relation to the plant cell?","The cell wall is mainly composed of plastic","It is mainly composed of protein","The cell wall is mainly composed of cellulose","The cell wall regulates the entry and exit of molecules","",2
8,"Which of the following cell organelles regulates the entry and exit of molecules to and from the cell?","Cell wall","Cytoplasm","Vacuoles","Cell membrane","",3
9,"Which of the following cell organelles is involved in the storage of food, and other nutrients, required for a cell to survive?","Golgi bodies","Cell membrane","Lysosomes","Vacuole","Mitochondria",3
10,"Which of the following cell organelles is present in plant cells and absent in animal cells?","Nucleus","Vacuole","Chloroplast","Cytoplasm","",2
11,"Which of the following statements is true about the Nucleus?","It is absent in prokaryotes","It is called the brain of the cell","It contains DNA and other genetic materials","All of the above","",3
12,"Difference between gram-positive and gram-negative bacteria is due to","cell wall","ribosomes","cell membrane","cytoplasm","",0
13,"Bacteria which retain purple colour after staining is called","Gram-positive","Gram-negative","Gram-stain","Gram-dye","Trichod",0
14,"Bacteria was first observed by","Carolus Linnaeus","Zygomycota","Anton van Leeuwenhoek","Robert Brown","",2
15,"Which fungi division is also called club fungi?","Zygomycota","Deuteromycota","Basidiomycota","Ascomycota","",2
16,"What is the name of the special hyphal tips through which parasitic fungi absorb nutrient directly from the cytoplasm of the living host?","Haustoria","Mitosome","Conidia","Mycelium","Coenocytic",0
17,"The living host with haustoria is said to","acetate","mycelium","rhizoid","ecoenocytic","parasite",4
18,"All fungi are _____.","saprophytes without chlorophylls are said to be saprotrophs","saprophytes","heterotrophs","saprophytes","aerial",1
19,"Bryophytes are _____.","Atriculae","Amphibious","Atracheophytes","terrestrial","aerial",2
20,"Which of the following groups would you place a plant that produces spores, lacks seeds and has vascular tissue?","Bryophyta","Algae","Pteridophyta","Gymnosperm","",2
21,"In which of the following groups is the gametophyte dominant?","Bryophyta","Algae","Pteridophyta","Gymnosperm","",0
22,"In Pteridophytes, the dominant generation is","gametophyte","haploid","diploid","Sporophyte","",3
23,"Pteridophytes and Bryophytes differ in having _____.","conducting system","Spermatozoids","Archegonia","Separate gametophytes","",0
24,"Sporophytic and gametophytic phases are independent in _____.","Gymnosperms","Fungi","Algae","Bryophytes","Pteridophytes",4
25,"Club moss belongs to","Fungi","Algae","Bryophyta","Pteridophyta","",3
26,"Phloem is without _____.","Pteridophytes","Past fibres","Companion cells","Phloem parenchyma","sieve cells",-1
27,"Organisms that use the energy of the sun to fix inorganic compounds to carbohydrates are called","chemoautotrophs","photoautotrophs","photoheterotrophs","chemoheterotrophs","",1
28,"All of the following are types of heterotrophic nutrition except","holozoic","parasitic","mutualistic","none of the above","green plants",4
29,"Extra-cellular digestion occurs in _____.","green plants","algae","saprophytes","viruses","",2
30,"An association where one organism benefits while the other neither benefits nor is harmed is _____.","commensalism","parasitic","holozoic","symbiosis","mutualism",0
31,"A woody plant with many branches of about the same size close to the ground is a","tree","shrub","herb","grasses","",1
32,"Ipomoea batatas belongs to which family?","Poaceae","Solanaceae","Convolvulaceae","Musaceae","",2
33,"Musa paradisiaca belongs to which family?","Poaceae","Solanaceae","Convolvulaceae","Musaceae","",3
