Question Number,Question,Option A,Option B,Option C,Option D,correct_indices
1,"Which of the following methods will hasten the reaction of CaCO₃ with HCl?","Cooling the acid","Using a lump of marble","Using pulverized marble","Adding excess water",2
2,"Which of these is a standard solution?","Tap water","Vinegar","A solution of known concentration","A supersaturated sugar solution",2
3,"The colour change of phenolphthalein in a basic solution is:","Colourless","Pink","Blue","Red",1
4,"In a redox reaction, the species that gains electrons is:","Oxidized","Reduced","Neutralized","Precipitated",1
5,"What is the mole of HCl in 250 cm³ of 0.1 M solution?","0.0025 mol","0.025 mol","0.25 mol","2.5 mol",1
6,"Which acid is commonly used in titrations with sodium hydroxide?","Nitric acid","Acetic acid","Hydrochloric acid","Sulfuric acid",2
7,"The indicator used for strong acid-strong base titration is:","Methyl orange","Phenolphthalein","Litmus","Universal indicator",1
8,"Which of the following is an example of a basic salt?","NaCl","Zn(OH)Cl","KNO₃","Na₂SO₄",1
9,"Calculate the volume of 2.0 M HCl needed to supply 0.01 mol of HCl.","5 cm³","10 cm³","15 cm³","20 cm³",0
10,"Which of the following is a redox reaction?","NaOH + HCl → NaCl + H₂O","AgNO₃ + NaCl → AgCl + NaNO₃","Zn + H₂SO₄ → ZnSO₄ + H₂","Na₂CO₃ + 2HCl → 2NaCl + CO₂ + H₂O",2
11,"What is the function of a stock solution in volumetric analysis?","Indicator","Standard reference","Unknown solution","Precipitate",1
12,"A solution of 25 cm³ of NaOH neutralizes 20 cm³ of 0.2 M HCI. What is the molarity of NaOH?","0.1 M","0.16 M","0.2 M","0.25 M",1
13,"The part of a titration curve where rapid pH change occurs is the:","Buffer region","Equivalence point","Starting point","Plateau",1
14,"What is the molar concentration of 10 g NaOH in 500 mL solution? (Na=23, O=16, H=1)","0.25 M","0.4 M","0.5 M","1.0 M",2
15,"Which of the following is an acidic salt?","Na₂SO₄","NH₄Cl","NaHSO₄","K₂CO₃",2
16,"A standard solution must:","Be colorless","Be acidic","Have known concentration","Be prepared from an unknown solute",2
17,"The endpoint of a titration is:","When the beaker breaks","When the solution boils","When there is a permanent colour change","When the burette is empty",2
18,"Which of the following can act as both an acid and a base?","HCl","NH₃","H₂O","NaOH",2
19,"In redox reactions, oxidizing agents:","Lose electrons","Gain electrons","Donate protons","Are oxidized",1
20,"What is the normality of 1 M H₂SO₄?","0.5 N","1 N","2 N","4 N",2
21,"What volume of 0.5 M NaOH will neutralize 25 cm³ of 0.1 M HCI?","2.5 cm³","5.0 cm³","10.0 cm³","12.5 cm³",1
22,"What is observed when NaOH is added to phenolphthalein?","Colourless","Pink","Yellow","Red",1
23,"In preparing a standard solution of Na₂CO₃, the solid is first:","Washed in acid","Dried in an oven","Dissolved in ethanol","Crushed and heated",1
24,"Which of the following is not a salt?","NaCl","CuSO₄","HNO₃","NH₄NO₃",2
25,"Which process separates a soluble salt from a salt solution?","Sublimation","Filtration","Evaporation","Chromatography",2
26,"Redox titration involves:","Acid-base only","Oxidation-reduction","Filtration","Neutralization",1
27,"What is the colour of methyl orange in an acidic solution?","Red","Yellow","Blue","Colourless",0
28,"The mole ratio in the reaction Zn + 2HCl → ZnCl₂ + H₂ is:","1:1:1:1","1:2:1:1","2:1:2:1","1:2:2:1",1
29,"Which of the following is a conjugate base of H₂O?","H₃O⁺","OH⁻","NH₄⁺","Cl⁻",1
30,"A salt formed by the reaction of a strong acid and a weak base is:","Neutral","Basic","Acidic","Amphoteric",2
31,"The main use of a pipette in titration is to:","Measure acids","Wash burette","Deliver an accurate volume","Mix reagents",2
32,"The equivalence point in a titration is when:","The acid is in excess","The base is in excess","Moles of acid equals moles of base","The solution becomes neutral",2
33,"A standard solution is always:","Slightly basic","Strongly acidic","Of known concentration","Of unknown concentration",2
34,"Oxidation involves:","Gain of electrons","Loss of electrons","Absorption of water","Precipitation",1
35,"In redox titration, KMnO₄ often acts as a:","Reducing agent","Base","Oxidizing agent","Solvent",2
36,"The molar mass of Na₂CO₃ is (Na=23, C=12, O=16):","84 g/mol","86 g/mol","106 g/mol","100 g/mol",2
37,"What is the volume of gas at STP that contains 1 mole of gas?","11.2 L","22.4 L","44.8 L","33.6 L",1
38,"A buffer solution resists change in:","Colour","Pressure","Temperature","pH",3
39,"Which of the following can be used as a primary standard to standardize NaOH?","H₂SO₄","HCl","Oxalic acid","NaCl",2
40,"When zinc reacts with HCl, the gas evolved is:","Oxygen","Hydrogen","Carbon dioxide","Chlorine",1
41,"What is a primary standard?","An acid used once","A solution of weak acid","A stable solid of known purity","A solution of unknown concentration",2
42,"Calculate the number of moles in 40 g of NaOH (Na=23, O=16, H=1):","0.5 mol","1.0 mol","2.0 mol","1.5 mol",1
43,"Which of the following is a base?","H₂O","NaCl","NH₃","CO₂",2
44,"What is the equivalent weight of H₂SO₄ (Molar mass = 98 g/mol)?","49","50","98","196",0
45,"A colour change from pink to colourless in phenolphthalein indicates a transition from:","Basic to neutral","Neutral to acidic","Basic to acidic","Acidic to basic",2
46,"Which acid is diprotic?","HCl","H₂SO₄","CH₃COOH","HNO₃",1
47,"One mole of Na₂CO₃ reacts with how many moles of HCl for complete neutralization?","1","2","3","4",1
48,"Which of these is NOT typically required during a titration?","Pipette","Burette","Crucible","Conical flask",2
49,"An indicator is used in titration to:","Neutralize the acid","Speed up reaction","Show the end point","Act as a base",2
50,"A solution that resists pH change when a small amount of acid or base is added is called a:","Neutral solution","Standard solution","Buffer solution","Titrant",2
51,"What is the pH of a neutral solution at 25°C?","0","7.5","7","14",2
52,"Which of the following compounds is amphoteric?","NaOH","HCl","Al(OH)₃","KCl",2
