Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"With the use of VSEPR theory, predict the geometry of Cl₂PF₃.","bent","seesaw shaped","trigonal pyramidal","trigonal bipyramidal","octahedral",1
2,"An element Z contains 90% ¹⁶₈Z and 10% ¹⁸₈Z. Its relative atomic mass is","16.0","16.2","17.0","17.2","18.8",1
3,"CsO₂ is an example of a:","an oxide","a peroxide","a superoxide","acidic oxide","c and d",2
4,"Find the number of molecules in 4.48 cm³ of carbon dioxide gas at STP, given the molar volume of a gas at STP is 22.4 dm³/mol and Avogadro's constant = 6.022x10²³.","1.311x10²⁰","1.204x10²⁰","3.320x10²⁰","0.204x10²⁰","0.332x10²⁰",1
5,"Calculate the wavelength in nm of the Balmer line of the hydrogen spectrum in which the initial n quantum number is 6 and the final n quantum number is 2. [Rydberg constant = 109678 cm⁻¹]","354","397","410","435","468",2
6,"A moth repellant has a composition of 49.1% C, 2.7% H, and 48.2% Cl. Its molecular weight is 147 amu. What is the molecular formula? [C=12.0; H=1.0; Cl=35.5]","C₆H₅Cl","C₆H₄Cl₂","C₆H₃Cl₃","C₆H₂Cl₄","C₅H₃Cl₂",1
7,"The following are group 1 elements except:","Fr","Rb","Cs","Sr","K",3
8,"How many moles of hydrogen gas (H₂) are in 27.0 g of hydrogen? [H=1.008]","46.74","20.25","27.25","19.25","13.40",4
9,"Natural hydrogen consists of how many isotopes?","1","2","3","4","5",2
10,"The following are examples of basic oxides except:","MgO","Na₂O","CaO","RbO₂","CO₂",4
11,"Element X (1s²2s²2p⁴) and Y (1s²2s²2p⁶3s²3p¹) combine. The formula of the compound is","XY","YX","X₂Y₃","Y₂X₃","Y₄X₃",3
12,"The plum pudding model of an atom is attributed to:","J.J. Thompson","E. Goldstein","J. Chadwick","E. Rutherford","N. Bohr",0
13,"A quantity of gas weighing 7.10 g at 741 torr and 44°C occupies a volume of 5.40 L. What is its molar mass?","17.6 g/mol","29.3 g/mol","35.1 g/mol","52.7 g/mol","70.2 g/mol",2
14,"The max safe pressure a 4.00 L vessel can hold is 3.50 atm. If the vessel contains 0.410 mol of gas, calculate the maximum temperature (in °C).","134°C","143°C","208°C","268°C","286°C",1
15,"Calculate the mass in grams of a sample of cobalt containing 4.00x10²⁰ atoms. [Co=58.93 g/mol]","0.0489 g","0.1354 g","0.0391 g","0.0876 g","0.0145 g",2
16,"Calculate the density (in g/L) of ammonia gas at 31°C and 751 mmHg. [R=0.0821 L·atm·K⁻¹mol⁻¹]","0.338","0.576","0.675","0.765","1.350",2
17,"If 0.10 mol of I₂ vapour effuses in 39s, how long will it take 0.10 mol of H₂ to effuse under the same conditions? [H=1.0, I=127.0]","3.5s","3.7s","3.9s","35s","39s",0
18,"Which of the following gases will diffuse fastest? (Molar masses: C₃H₈=44, O₂=32, CH₄=16, NH₃=17, N₂=28)","propane","oxygen","methane","ammonia","nitrogen",2
19,"What is the hybrid orbital used by the N-atom in ammonia?","sp","sp²","sp³","sp³d","sp³d²",2
20,"To which period, group and block does an element with electron configuration 1s²2s²2p⁶3s²3p⁶ belong?","2, 18, p-block","2, 18, s-block","2, 10, s-block","3, 18, s-block","3, 18, p-block",4
21,"How many electrons are allowed in an atom where the principal quantum number n=5?","18","32","2","50","12",3
22,"5 moles of NH₃ are enclosed in a 6 L flask at 23°C. Calculate the pressure exerted by the gas assuming it behaves ideally.","13.15 atm","12.15 atm","20.28 atm","25.28 atm","15.12 atm",2
23,"Arrange the following in order of increasing atomic radius: Be, Li, C, O, F.","Be<Li<C<O<F","F<C<O<Li<Be","F<O<C<Li<Be","F<O<C<Be<Li","Li<Be<C<O<F",3
24,"Which orbitals are hybridized to form an octahedral geometry?","s and f-orbitals","s and p-orbitals","s, p and d orbitals","p and d-orbitals","s and d-orbitals",2
25,"An element X forms compounds XCl₄, XCl₃, XCl₂. This illustrates the law of:","multiple proportions","chemical composition","simple proportion","conservation of mass","definite proportion",0
26,"Calculate the volume occupied by 35g of nitrogen gas (N₂) at 37°C and 750 mmHg pressure. [N=14 g/mol]","32.24 L","13.93 L","64.48 L","27.60 L","10.93 L",0
27,"Which of the following is an example of an acid salt?","(NH₄)₂SO₄·FeSO₄·6H₂O","ZnSO₄","MgSO₄","KNO₃","KHSO₄",4
28,"What is the molecular weight of a pure gaseous compound having a density of 4.95 g/L at -35°C and 1020 torr?","24","11","72","120","44",2
29,"A gaseous mixture of O₂, N₂, and H₂ exerts a total pressure of 1.50 atm and contains 5.00g of each gas. Find the partial pressure of nitrogen gas. [H=1, N=14, O=16]","0.043 atm","0.053 atm","0.063 atm","0.073 atm","0.083 atm",2
30,"Which element of the periodic table forms the most compounds?","C","H","N","S","P",0
31,"The following are elements in the p-block except:","Rb","Si","C","Ge","Te",0
32,"CaH₂ is an example of:","covalent hydride","interstitial hydride","ionic hydride","b and c","all of the above",2
33,"A sample of H₂ collected over water occupied 30.0 mL at 24°C and 736 torr. What volume would it occupy dry at STP? (Vapour pressure of water at 24°C is 22.4 torr)","32.4 mL","21.6 mL","36.8 mL","25.9 mL","27.6mL",3
34,"Which of the following electron configurations are possible for an atom in its ground state? (I)1s¹2s²2p⁶ (II)1s²2s²2p⁶3s¹ (III)1s²2s²2p⁵ (IV)1s²2s²2p⁶3s²3p⁷ (V)1s²2s²2p⁶3s²3p⁶4s²3d⁸","III and V only","II, III and V only","I, II and III only","I and II only","all of the above",1
35,"The following are examples of representative elements except:","Te","Tc","Cs","Na","Ca",1
36,"An element X has 127 neutrons and 82 electrons in its neutral atom. Its atomic number is:","209","45","105","82","127",3
37,"List all possible subshells associated with the principal quantum number n=5.","4s, 4p, 4d, 4f","4s, 4p, 4d, 4f, 4g","5s, 5p, 5d, 5f, 5g","6s, 6p, 6d, 6f, 6g, 6h","none of the above",2
38,"Which of the following is not a variable typically used to describe gas behavior?","volume","mass","pressure","temperature","all are used",1
39,"Calculate the number of moles of Na⁺ ions present in 30 cm³ of 1.50 M of NaCl solution.","0.031 mol","0.045 mol","0.015 mol","0.025 mol","0.034 mol",1
40,"Calculate the binding energy per nucleon (in MeV) for a ⁴He atom (mass 4.00260 amu). [mass of neutron=1.008665 amu, mass of H atom=1.007825 amu, 1 amu=931.5 MeV]","7.0745 MeV","28.2980 MeV","27.2980 MeV","8.0745 MeV","6.0745 MeV",0
41,"What is the mass of one Beryllium (⁴Be) atom? (Be = 9.01 amu, 1 amu = 1.6605x10⁻²⁴ g)","2.99x10⁻²³ g","1.49x10⁻²³ g","2.99x10⁻²² g","5.98x10⁻²² g","3.50x10⁻²² g",-1
42,"A nucleus of mass number 81 contains 46 neutrons. An atomic ion of this element has 36 electrons. Write the symbol of this ion.","⁸¹₃₆Kr","⁸¹₃₅Br⁻","⁸¹₃₅Kr⁺","⁸¹₃₅Br⁺","⁸¹₃₅Br",3
43,"Calculate the wavelength in nm of light emitted when an electron drops from the 4th to the 2nd energy level in hydrogen. [Rydberg constant R_H = 1.0974x10⁷ m⁻¹]","385","394","477","374","486",4
44,"An old wooden article shows 2.0 counts/min/g. A fresh sample shows 15.2 counts/min/g. Calculate the age of the article (t½ for ¹⁴C = 5760 years).","30 years","12,693 years","400 years","16,862 years","11,391 years",3
45,"Arrange in order of increasing first ionization energy: Cl, Ar, P, Na, S, Mg.","Cl<Ar<P<Na<S<Mg","Na<Mg<P<S<Cl<Ar","S<P<Mg<Na<Cl<Ar","Ar<Cl<P<S<Mg<Na","Ar<Cl<S<P<Mg<Na",1
46,"In the nuclear reaction ¹⁹⁵₇₉Au + ? → ¹⁹⁵₇₈Pt, what is the missing particle?","α-particle","neutron","electron capture","negatron","gamma ray",2
47,"What is the hybridization about the central selenium atom in selenium hexafluoride (SeF₆)?","sp","sp²","sp³","sp³d","sp³d²",4
48,"A 200.0 mL flask contains 1.03 mg O₂ and 0.56 mg He at 15°C. What is the total pressure? [He=4, O=16]","0.0038 atm","0.017 atm","0.020 atm","0.037 atm","0.040 atm",-1
49,"Balance the equation ¹¹₆C → ? + ¹¹₅B. The missing particle is a:","⁴₂He","positron (⁰₁e)","¹₀n","¹₁H","negatron (⁰₋₁e)",1
50,"What is the number of orbitals in a 5g subshell?","1","3","5","7","9",4
51,"What is the bond angle in a square planar molecule?","180°","120°","109.5°","107.3°","90°",4
52,"Helium gas at 22°C and 1.00 atm occupied 2.54 L. Calculate the volume it would occupy if cooled to -197°C.","0.65 L","0.56 L","0.65 L","1.30 L","1.95L",-1
53,"The energy needed to remove a single electron from an isolated gaseous atom is called:","kinetic energy","electronegativity","ionization energy","electron affinity","all of the above",2
54,"The gold foil experiment was conducted by:","E. Goldstein","J. Chadwick","N. Bohr","E. Rutherford","J. J. Thompson",3
