Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"Find the words nearest in meaning to the italicized word: His speech was very *bespoke*.","repeated","pale faced","custom-made","eloquent","",2
2,"Before the operation, the dentist found that his patient teeth *had long decayed*","have long been decayed","had long decayed","have long decayed","have been decaying","",1
3,"*Last week* ______ the theme 'this was the largest I had ever seen.'","a assembly","was","Last week","convection","",1
4. "The Special Collection section of the Library houses all but one of these.","Race Books, Theses, and Dissertation","Government Documents, and Publication of International Organization","Year Books, Almanacs","All of the above","",2
5,"He *had just arrived* the office, ______ the young men.","as","before","since","when","",1
6,"Find the opposite in meaning of the following word: The groups were accused of using diabolical means to influence their members for *benign* ends.","Magisterial","Malicious","Angelic","Factor","",1
7. "It is African for a younger person to show ______ *deference*.","Indecency","praise","indifference","understanding","",2
8,"What is Library User Education?","The orientation given to Library Patrons to enable them to fetch reading materials for themselves independently.","It is the series of lectures and seminars given to JAMBITES on arrival at the University","It is the education given to Fresh students of any University to equip them for the task ahead.","None of the above","",0
9,"As luck would have it the weather brightened almost immediately and after six hours flight we ______ at Heathrow.","had cleared","dropped","came down","flew down","",0
10,"I would not have attended the party if you ______ but I happened to be there.","had not invited me","were not to have invited me","had not being invited","have not invited me","",0
11,"Find the word nearest in meaning to the following underlined word: The investments seem to be *flourishing*.","Thriving","Withering","Sowing","Sluggish","",0
12,"_______ marked an important step in the history of the industrial revolution.","The invention of the locomotive engine","The inventing of locomotive engine","The discovery of the engine","Inquiry into locomotion","",0
13,"When books are said to be on open access it means ______.","The books are spread open on the shelf","The users have freedom to access such books","All of the above are correct","none of the above","",1
14,"Find the word nearest in meaning to the word *muddle*.","Delay","bother","confuse","achebe","",2
15,"If this had happened to you, what ______?","would you do","have you done","would you have done","will you do","",2
16,"Find the word nearest in meaning to the italicized word: *render* a deliver in due time.","illustrate","list","label","decorate","",2
17,"By the time the rainy season ended, all the young coca trees ______.","is doubled","had doubled","were doubling","doubled","",1
18,"We got to the hall after the play ______.","is started","had started","was starting","has started","",1
19,"The bridge connecting the two cities was ______ by the enemy.","a blown over","blown up","blown down","blown off","",1
20,"If he had left home earlier, he ______ late.","would not be","would have not been","could not have been","would not have been","",3
21,"Find the word nearest in meaning to the italicized word: There was a large *stockpile* of weapons in the country.","hoard","cache","anger","horseplay","",0
22,"I saw you walking in that direction but I did not know exactly ______.","where you were going","where were you going","where are you going","where you going","",0
23,"The chairman of the company was very sympathetic ______ his staff.","at","to","for","from","",1
24,"After our series of quarrels it would be ______ to pretend that I have any more regard for him.","hypothetical","hypocritical","hypocrisy","hyperthetical","",1
25,"You have been absent from classes for four months. How can you ______ for lost time?","make in","make up","make off","make out","",1
26,"Find the word nearest in meaning to the italicized word: The artist said he did not want to *mar* a steal deal.","steal","consume","clean","spoil","",3
27,"Must you always listen ______ every silly talk?","A","B","to","D","",2
28,"What is the major advantage of OPAC over Card catalogue to a library user?","It uses a computer","More visible and appealing to users","It allows for multiple user access","It gives more details than the card catalogue","",2
