Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"Which of the following is not a vector quantity?","velocity","force","momentum","acceleration","none of the above",4
2,"Which of the following is not correct?","unit vector has a magnitude of 1","two or more vectors having the same initial point are coinitial vectors","two vectors are equal if they have same magnitude and direction","two or more vectors are collinear if they are perpendicular to the same line","a zero vector is one in which the initial and terminal points coincide",3
3,"If the length of the vector a = xi + 2j - k is 3, find the positive value of x.","2","4","5","1","7",0
4,"Find the values of x if the magnitude of a = xi + (3+x)j + 2k is 2x+1.","3, -2","5, 6","7, 4","-2, 6","0, 5",0
5,"Evaluate 2x²+x+1, if the magnitude of a=3i+xj+2k is equal to the magnitude of b=6i+(x-4)j+3k.","432","439","216","532","539",4
6,"Find the sum of the vectors AB + BC - DC - AD.","1","AB","AC","0","none of the above",3
7,"If A = 3i+6j+12k and C = 3i-7j+8k, evaluate |2A-C|.","625","25.02","52.02","25.04","48",-1
8,"If r₁=4i-3j+2k and r₂=3i+5j+4k, evaluate 2r₁+4r₂.","30i+41j-20k","20i+14j+20k","20i+14j+20k","18i+20j-24k","20i-14j-20k",2
9,"If a=2i+3k, b=4i-6k and c=20i-6k, find the scalars λ and β if c is the resultant of λa and βb.","3, 4","6, 8","4, 3","4, 8","3, 2",2
10,"Find the values of λ if the modulus of P is 7, where P is the resultant of A=λi+4j-k and B=i+2j-k.","6, 5","8, 4","2, -4","0, 9","3, 2",2
11,"Find the value of λ if the magnitude of v=λi+6j-2k is the same as the magnitude of w=2i-3j+(3+λ)k.","6","7","4","9","3",4
12,"If the unit vector of the resultant of A=i+j and B=j-xk is c = 1/3 i + 2/3 j - 2/3 k, find the value of x.","6, -5","2","8, -4","5, -5","3, -3",1
13,"If the unit vector of the sum of A=xi+2j and B=2k is equal to the unit vector of the sum of C=(x+1)j+k and D=i+k, find x.","4","1","6","3","8",-1
14,"Find a unit vector parallel to the sum of A=2i+4j-5k, B=i+2j+3k, and C=2i+4j+10k.","(5i+10j+8k)/√189","(5i+10j+7k)/√174","(i+4j+17k)/7","(9i+8j+14k)/5","none of the above",-1
15,"Evaluate (A+B)·(A-B), if A=2i-3j+5k and B=3i+j-2k.","-24","42","56","32","40",-1
16,"Find the value of λ if 2i-3j+5k is orthogonal to 3i+λj-2k.","8","9","16","3/4","-4/3",4
