Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"Solve the inequality log(4/5)(x+1) < log(4/5)(2x+1).","x < -5 or x < 8","x > 0","x < -8","x < 5 or x < 7","None of the above",-1
2,"Find the expression for the nth term of the sequence 3, 5, 7, 9...","n+2","2n+1","2n²","2(n)²","None of the above",1
3,"Evaluate Σ(2ʳ) from r=1 to 7.","252","248","254","244","None of the above",2
4,"Find the nth term of an AP whose sum of n terms is n(n+2) for all n.","2n+1","2n-1","2n+2","2(n+2)","None of the above",0
5,"Mr. Daniel got an employment offer with a starting salary of N500,000 per annum with a yearly increase of N20,000. Calculate his salary at the 10th year.","N700,000","N680,000","N645,000","N720,000","None of the above",-1
6,"An exponential sequence (GP) is given by 8, 2, ½, ... Find in terms of n, the nth term.","2⁵⁻²ⁿ","2⁴⁻²ⁿ","2³⁻²ⁿ","32(½)ⁿ⁻¹","None of the above",0
7,"The p-series Σ(1/nᵖ) is convergent if:","p < 1","p > 1","p ≤ 1","p ≥ 1","None of the above",1
8,"Find x if |3x-8|/2 ≤ (x-1)/3.","5/3 ≤ x < 13/3","-5/3 < x < 13/3","5/3 ≤ x ≤ -13/3","5/3 < x < -13/3","None of the above",0
9,"A free falling body starting from rest falls 16ft during the first second, 48ft during the second, 80ft during the third second etc. Calculate the distance it falls in 15 seconds from rest.","448","432","464","480","None of the above",-1
10,"Evaluate tan(4θ).","(4tanθ(1-tan²θ))/(1+6tan²θ-tan⁴θ)","(4tanθ(1-tan²θ))/(1-6tan²θ+tan⁴θ)","(tanθ(1-tan²θ))/(1+6tan²θ-tan⁴θ)","(tanθ(1-tan²θ))/(1-6tan²θ+tan⁴θ)","None of the above",1
11,"Evaluate sin4θ + sin6θ as a product of sine and cosine.","-2sin5θcosθ","cos3θ","2sin5θcosθ","2sinθcos5θ","None of the above",2
12,"Evaluate tan(2θ + π/2).","-cot2θ","cot2θ","cosec2θ","-cosec2θ","None of the above",0
13,"Find Z₁Z₂ if Z₁ = (2+5i) and Z₂ = 8-2i.","16+44i","16-44i","26+36i","26-36i","None of the above",2
14,"Express (4-i)(2+5i) - (6+3i)(2-2i) in the form a+ib.","-5+24i","5+24i","5-24i","-5-24i","None of the above",0
15,"Express (x+7)/(x²-16) into partial fractions.","(x+7)/((x-4)(x+4))","11/(8(x-4)) - 3/(8(x+4))","11/(8(x-4)) + 3/(8(x+4))","8(x-4) - 3/(8(x-4))","None of the above",1
16,"Express (8x-17)/((x+1)²(x-4)) into partial fractions.","5/(x+1) + 3/((x+1)²) + 1/(x-4)","8/(x-4) + 5/(x+4) + 3/((x-4)²)","5/(x-4) - 5/(x+1) + 3/((x+1)²)","1/(x-1) + 1/(x-4)","None of the above",-1
17,"Resolve (x³+3)/(x²+2x²) into partial fractions.","x/(x²+2) - (2x-3)/(x²+2)²","x/(x²+2) + (2x-3)/(x²+2)²","x/(x²+2) - (2x+3)/(x²+2)²","x/(x²+2) + 3/((x²+2)²)","None of the above",-1
18,"In a class of 40 pupils, 30 study Biology, 22 study physics and 21 study chemistry. 15 study physics and biology, 10 study physics and chemistry and 13 study biology and chemistry. Each-student in the class study at least one of the three subjects. How many pupils study all three subjects?","10","9","5","55","None of the above",1
19,"If a pupil is selected at random from the class in Q18, what is the probability that he studies either physics or chemistry?","33/40","33","13","1","None of the above",0
20,"Let S = {1, 2, 3, 4, 5, 6} and R = {2, 4, 5, 7}. Find (SΔR)'. (Assume U={1,..,10})","{4,5}","{1,3,6,7}","{2,8,9,10}","{1,3,6,7,8,9,10}","None of the above",-1
21,"If α and β are the roots of the equation x²-6x+5=0, find the equation whose roots are α/β, β/α.","5x²+28x+5=0","10x²+18x-9=0","5x²-26x+5=0","5x²+15x+5=0","None of the above",2
22,"If α and β are the roots of the equation 2x²+6x-5=0 find the equation whose roots are α+1/β, β+1/α.","10x²-12x-9=0","10x²+12x-9=0","x²-2x+14=0","x²+2x-14=0","None of the above",1
23,"Given y=14-3x-2x², state the turning point and determine the point.","Minimum point, (-3/4, -81/8)","Maximum point, (-3/4, 121/8)","Maximum point, (-3/4, -21/8)","Minimum, (-1/4, 8)","None of the above",-1
24,"If α and β are the roots of the equation 2x²-6x-5=0, form the equation whose roots are α², β².","2x²-23x-25=0","x²+2x-5=0","x²-18x-9=0","2x²-28x+25=0","None of the above",-1
25,"The binary operation * is defined on the set of real numbers R by x*y = x²-y-√xy. Find 3*2.","9-√6","9","3","√9","None of the above",-1
26,"The binary operation * is defined on the set of real numbers R by a*b = b²-a²/2ab. Find 3*2.","-5/12","5/12","3/12","None of the above","",0
27,"The binary operation 'o' is defined on the set of real numbers R by a°b = (a+b+ab)/2. Find (2°3)°4.","28","54","10","12","None of the above",-1
28,"Which of the following statements is/are correct? (I) All integers are Rational numbers (II) the set of positive integers is equal to the set of natural numbers (III) All real numbers are complex numbers (IV) the set of non-negative integers are equal to the set of natural numbers.","I, II, IV","I, II, III","I, II","II, III","None of the above",-1
29,"Which of the following sets of numbers is closed with respect to the operation addition, subtraction, multiplication and division?","Rational numbers","Natural numbers","Irrational numbers","Integers","None of the above",0
30,"Which of the following is not a step in the principles of mathematical induction in establishing the veracity of a formula for the sum of a series?","Assume that the mathematical expression is true for n = k, if it's true for n=1","Show that the mathematical expression is true for n=1","If the mathematical expression is true for n=k, then show that it is true for n=k+1","None of the above","",0
31,"The Maclaurine's series of e^(x²) is...","1+x+x²/2+...","1-x+x²/2-...","1+x²+x⁴/2+...","1-x²+x⁴/2-...","None of the above",2
32,"If Σ(1/(r(r+1))) = n/(n+1) is proven by induction, then the principle at n=k+1 is obtained by simplifying?","1/(k(k+1)) + k/(k+1)","k/(k+1) + 1/((k+1)(k+2))","(k+1)/(k+2) + 1/(k+1)","k/(k+2) + 1/(k+1)","None of the above",1
33,"Find the value of cotx+2cosec²x+cosxsecx if sinx=3/5, 0<x<90.","17/3","17/3","13/3","3/13","None of the above",1
34,"Given that tanx=3/5. Evaluate (4secx-sinx)/(sinx+2cosx), 0<x<90.","13+3√34/34","13-3√34/34","65-15√34/136","65+15√34/34","None of the above",1
35,"Evaluate (1-cos⁴x)/cos²x.","1+cos²x","(1-b)²","(2d)-2","(e) None of the above","",-1
36,"If sinA=4/5 and cosB=3/5, find cos(A+B).","25/7","-7/25","25/7","-7/25","None of the above",3
37,"Evaluate sin²2θ / sin²θ.","4-4cos²θ","4-cos²θ","2sin²θ","4cosθ","None of the above",-1
38,"If Z = -4+5i, find (Z-conjugateZ)/Z.","-9/9i","9+9i","9-9i","-5i/2","5i/2",-1
39,"Express in polar form Z=1-√3 i.","2(cos(5π/3)+isin(5π/3))","2(cos(3π/5)+isin(3π/5))","(cos(5π/3)+isin(5π/3))","(cos(3π/5)+isin(3π/5))","None of the above",0
40,"Determine the value of log(1+i).","(a) log√2 + i(π/4 + 2nπ)","(b) log√2 + i(π/4)","(c) log√2","(d) log√(2-i(π/4+2nπ))","(e) None of the above",0

Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
1,"The distribution of an experiment that entails repeating independent Bernoulli trials until the first success is observed is known as","binomial distribution","geometric distribution","Poisson distribution","None of the above","",1
